,LGA_NAME,ACCIDENT_Year,Amount
181,HUME,2014,433
182,HUME,2015,433
183,HUME,2016,460
184,HUME,2017,365
185,HUME,2018,376
186,INDIGO,2014,57
187,INDIGO,2015,52
188,INDIGO,2016,52
189,INDIGO,2017,42
190,INDIGO,2018,32
191,KINGSTON,2014,353
192,KINGSTON,2015,339
193,KINGSTON,2016,305
194,KINGSTON,2017,296
195,KINGSTON,2018,272
196,KNOX,2014,259
197,KNOX,2015,311
198,KNOX,2016,304
199,KNOX,2017,263
200,KNOX,2018,213
201,LATROBE,2014,152
202,LATROBE,2015,144
203,LATROBE,2016,170
204,LATROBE,2017,125
205,LATROBE,2018,121
206,LODDON,2014,36
207,LODDON,2015,29
208,LODDON,2016,25
209,LODDON,2017,29
210,LODDON,2018,14
211,MACEDON RANGES,2014,104
212,MACEDON RANGES,2015,121
213,MACEDON RANGES,2016,120
214,MACEDON RANGES,2017,96
215,MACEDON RANGES,2018,81
216,MANNINGHAM,2014,150
217,MANNINGHAM,2015,193
218,MANNINGHAM,2016,164
219,MANNINGHAM,2017,165
220,MANNINGHAM,2018,163
221,MANSFIELD,2014,68
222,MANSFIELD,2015,57
223,MANSFIELD,2016,62
224,MANSFIELD,2017,36
225,MANSFIELD,2018,41
226,MARIBYRNONG,2014,194
227,MARIBYRNONG,2015,196
228,MARIBYRNONG,2016,185
229,MARIBYRNONG,2017,171
230,MARIBYRNONG,2018,145
231,MAROONDAH,2014,218
232,MAROONDAH,2015,214
233,MAROONDAH,2016,209
234,MAROONDAH,2017,193
235,MAROONDAH,2018,146
236,MELBOURNE,2014,818
237,MELBOURNE,2015,848
238,MELBOURNE,2016,718
239,MELBOURNE,2017,680
240,MELBOURNE,2018,612
241,MELTON,2014,202
242,MELTON,2015,236
243,MELTON,2016,225
244,MELTON,2017,211
245,MELTON,2018,185
246,MILDURA,2014,107
247,MILDURA,2015,113
248,MILDURA,2016,136
249,MILDURA,2017,111
250,MILDURA,2018,74
251,MITCHELL,2014,113
252,MITCHELL,2015,139
253,MITCHELL,2016,155
254,MITCHELL,2017,122
255,MITCHELL,2018,122
256,MOIRA,2014,52
257,MOIRA,2015,69
258,MOIRA,2016,73
259,MOIRA,2017,62
260,MOIRA,2018,48
261,MONASH,2014,427
